Account,Assists,Deaths,Heals,Hours_Played,Kill_Death_Ratio,Kills,Kills_Per_Minute,Matches_Won,Resupplies,Revives,Score_Per_Min,Total_Damage_Done,Win_Ratio
Dojfes,10602,21611,168351,533,2.2,47528,1.48,1101,17937,11272,666.26,5685049,0.65
Arctic12138,943,2429,5345,71,4.03,9798,2.28,150,1487,341,665.93,1111673,0.53
caribbean_hulkYT,20752,45229,497114,1172,3.07,139073,1.98,2876,33846,35644,665.78,14657205,0.7
Lekoy,1264,3501,8062,102,4.2,14691,2.38,244,1438,550,665.2,1586585,0.66
Dgoto24,23367,46252,88679,1121,2.39,110566,1.64,2506,35484,10340,664.91,13443360,0.68
Legolas79391,6065,11790,30577,261,3.02,35578,2.27,702,1852,2872,664.66,3937481,0.68
Kloschrubbi,14672,26107,75069,935,4.59,119741,2.13,2602,19636,4449,664.47,13877277,0.72
AtomeViperer,13523,18811,27604,567,3.92,73750,2.17,1504,16712,5705,664.15,8673886,0.65
l__Doves__l,21633,31954,193178,1132,2.98,95081,1.4,2701,21013,23401,664.14,10862834,0.73
LxR_Octorax,14397,38091,28417,964,2.54,96850,1.67,2494,4766,7037,664.13,11045969,0.64
HairyHob,20979,39752,282501,1145,3.44,136790,1.99,2547,27196,16791,663.92,15169770,0.68
TanX2Nic,20073,39142,552321,1070,2.7,105655,1.65,2284,176470,18951,663.81,12847049,0.81
lIcaMoIl,7342,18845,192315,491,1.86,35115,1.19,944,11982,15052,663.32,3966423,0.66
Dancing_Froog,2160,2683,20473,129,3.29,8836,1.13,248,4734,1729,663.25,1093594,0.69
Tonihighfive,14756,18934,292879,692,4.11,77797,1.87,2691,20959,15175,663.2,8543394,0.89
Ellnine,11573,18184,56563,640,3.68,67004,1.74,1334,11976,5415,663.19,7870718,0.69
MrDolbaeb,7162,14131,68771,450,2.84,40168,1.49,1038,7650,9294,663.15,4374832,0.73
Crimson_Bullet94,6678,10544,39193,367,3.48,36684,1.67,982,8756,3467,662.89,4195370,0.77
Private_Py1e,84597,88641,1003292,3158,4.21,373017,1.97,11797,164682,38685,662.78,43771397,0.81
CyphRss-,17248,20607,158131,828,4.14,85361,1.72,1991,13973,11499,662.47,9549419,0.76
igunner007,42051,82890,233485,2118,2.46,203737,1.6,3922,25747,27224,662.41,24161582,0.61
Cygnus_Plague,14605,26039,278402,847,3.33,86796,1.71,1875,24091,17578,662,9559997,0.66
XiaMo_AcePilots,4318,9713,15186,331,3.76,36561,1.84,669,5361,1322,661.65,4133488,0.59
Senpan-_-GG,28253,49872,151004,1408,3.63,180884,2.14,2491,17948,12774,661.58,20234223,0.57
fyfanvastek,41211,35904,316190,1984,6.25,224381,1.88,4718,38554,21610,661.52,25530903,0.71
AmaZinG__bS-,22438,38056,77434,1220,4.46,169847,2.32,3120,7986,10259,661.35,18536496,0.73
EXD BAL0,18547,21185,174925,954,3.78,80098,1.4,2193,63078,13518,661.28,9147415,0.75
GamingGurk,20242,18010,170932,1160,6.81,122638,1.76,2620,33377,13637,661.22,13368658,0.73
CotaEvandro,8901,12776,81995,563,4.52,57747,1.71,1141,11994,5560,661.13,6522909,0.69
Roksana V,25545,41434,835810,1624,3.01,124575,1.28,3853,57723,93736,661.11,13474992,0.7
Grimmauch,5292,5504,50023,274,5.2,28632,1.74,799,6135,2854,661.05,3226885,0.84
ComoReb1,42954,54910,622435,1556,3.9,214258,2.29,5787,52682,22400,660.98,25918871,0.73
Mr Leilborg,6350,8658,76538,370,4.3,37229,1.68,1135,7029,11421,660.91,3956012,0.86
ChienSquare5660,15799,36019,899200,1351,2.84,102228,1.26,3384,59205,66182,660.65,10900289,0.68
TOOOM2904,7195,10781,55603,431,4.37,47071,1.82,915,6130,3677,660.53,5271091,0.74
The Witchy Lady,16949,24699,2411,849,3.58,88408,1.73,1841,47666,1991,660.4,10437017,0.68
the lost pixels,31113,39977,269285,1571,3.92,156699,1.66,3964,48775,22751,660.36,17634062,0.75
ii__Shoot__HD,21542,47331,274313,1121,3.18,150389,2.23,2639,21803,23712,660.32,16226468,0.62
ai-_-koyu3,7026,15470,41714,344,2.13,32931,1.59,560,4084,8784,660.32,3939061,0.52
KOW4Lhehe,1899,3460,24374,92,3.03,10475,1.9,171,1730,2630,660.17,1200275,0.56
XkilaueaX,13858,9883,113740,971,10.7,105783,1.82,2087,8229,7575,660.07,11332603,0.75
FancyZebra1,63540,83978,179528,3247,4.12,346035,1.78,6809,119635,22149,660.04,39655410,0.71
NiLiZAR--,24586,37148,127262,1361,5.61,208562,2.55,5981,12872,10412,659.7,22260902,0.81
ZZLYKT,1132,3414,13816,91,3.39,11567,2.1,159,2005,1095,659.66,1279175,0.6
M4URiC3-HRO,6169,7861,166221,304,4.15,32608,1.78,697,15495,6174,659.61,3755888,0.71
GrmNachos,17349,17823,158569,806,4.37,77935,1.61,1807,15607,19888,659.48,8633301,0.75
Ls V I Hero I,31785,21910,86914,1399,6.58,144183,1.72,4073,67517,11771,659.33,16532301,0.84
Custom Parts,7954,8003,11762,342,4.42,35335,1.72,1104,19071,3028,659.31,3943550,0.84
CHINUUUUUUUUUUUU,21413,32315,414438,947,3.4,109908,1.93,2009,36441,21157,659.29,12280904,0.56
Dance_of_apua033,45496,132925,104233,2147,2.14,284581,2.21,3681,18521,12181,659.22,33621929,0.55
Nobita_vs_Jaian,2434,5043,19592,123,3.03,15294,2.07,195,5121,2393,659.2,1723037,0.58
CESAR_IRONMAIDEN,42208,82664,1627318,2310,2.41,199306,1.44,8030,147120,60999,659.19,22373199,0.85
ImaBatnnan,2558,5349,13355,143,3.38,18089,2.11,302,3251,1316,658.96,2031883,0.64
